epoch	selection	event	subject	run	trial	intensity	rating	painful	__eegfeat_row_id	eeg_band-power_theta_f3_baseline_log10_p59bf33cb66c7	eeg_band-power_theta_f3_stimulus_log10_pa2b7a0894e53	eeg_band-power_theta_fz_baseline_log10_p3541b906d289	eeg_band-power_theta_fz_stimulus_log10_p4f2687dea0f3	eeg_band-power_theta_f4_baseline_log10_p56e8680308a8	eeg_band-power_theta_f4_stimulus_log10_pca5c4f54e525	eeg_band-power_theta_c3_baseline_log10_pfcda86230d69	eeg_band-power_theta_c3_stimulus_log10_p6f47b21d2801	eeg_band-power_theta_cz_baseline_log10_p78e4ffcc6113	eeg_band-power_theta_cz_stimulus_log10_p7d7ab1af9d28	eeg_band-power_theta_c4_baseline_log10_pcd17bcc5801a	eeg_band-power_theta_c4_stimulus_log10_pf70c6ae6a78f	eeg_band-power_theta_p3_baseline_log10_p8474b7321296	eeg_band-power_theta_p3_stimulus_log10_pafb915d3ab2b	eeg_band-power_theta_pz_baseline_log10_pe02793246779	eeg_band-power_theta_pz_stimulus_log10_pb1ca10fa65fc	eeg_band-power_theta_global_baseline_log10_p0efe171ba98c	eeg_band-power_theta_global_stimulus_log10_p1d41967a1a80	eeg_band-power_alpha_f3_baseline_log10_p1cb7d7bd0e65	eeg_band-power_alpha_f3_stimulus_log10_p690fda851917	eeg_band-power_alpha_fz_baseline_log10_pcbad1a1aca34	eeg_band-power_alpha_fz_stimulus_log10_p5639f33291c3	eeg_band-power_alpha_f4_baseline_log10_p77e6a6a2e8d3	eeg_band-power_alpha_f4_stimulus_log10_p7f2bf5d4f9d3	eeg_band-power_alpha_c3_baseline_log10_p21d8d85ae9ba	eeg_band-power_alpha_c3_stimulus_log10_p3a6058a56e4b	eeg_band-power_alpha_cz_baseline_log10_p70d53d8a35a2	eeg_band-power_alpha_cz_stimulus_log10_p533ee0312a19	eeg_band-power_alpha_c4_baseline_log10_p8fd0e6ec3007	eeg_band-power_alpha_c4_stimulus_log10_p7cf484cd856e	eeg_band-power_alpha_p3_baseline_log10_p1e1bd83f4dba	eeg_band-power_alpha_p3_stimulus_log10_p0e46e848c464	eeg_band-power_alpha_pz_baseline_log10_p01110f035f81	eeg_band-power_alpha_pz_stimulus_log10_p920ef4006979	eeg_band-power_alpha_global_baseline_log10_pe2e7a33c2690	eeg_band-power_alpha_global_stimulus_log10_p171a8b2e2ae8	eeg_band-power_beta_f3_baseline_log10_p29dbb17fcfae	eeg_band-power_beta_f3_stimulus_log10_p5657c7f4c040	eeg_band-power_beta_fz_baseline_log10_pe747852077ba	eeg_band-power_beta_fz_stimulus_log10_p888939438202	eeg_band-power_beta_f4_baseline_log10_pa1f6551047a3	eeg_band-power_beta_f4_stimulus_log10_p582b88d85a78	eeg_band-power_beta_c3_baseline_log10_p88ff5abfb055	eeg_band-power_beta_c3_stimulus_log10_p55d4871fbb40	eeg_band-power_beta_cz_baseline_log10_pd46039037579	eeg_band-power_beta_cz_stimulus_log10_p7e0f772cec0e	eeg_band-power_beta_c4_baseline_log10_pfa1a31f91f2c	eeg_band-power_beta_c4_stimulus_log10_p861d747176c7	eeg_band-power_beta_p3_baseline_log10_p8f03c27dbf07	eeg_band-power_beta_p3_stimulus_log10_p160b10f3d67d	eeg_band-power_beta_pz_baseline_log10_pec498fa1ddb7	eeg_band-power_beta_pz_stimulus_log10_p1ecbc3f81c4e	eeg_band-power_beta_global_baseline_log10_p2e369ae5e78d	eeg_band-power_beta_global_stimulus_log10_pe8f2e4e435c1	eeg_erds-mean_alpha_central_stimulus_percent_pc5ab132dc1e2	eeg_erds-mean_alpha_parietal_stimulus_percent_pd2fff718cfa9	eeg_erds-mean_alpha_global_stimulus_percent_pa34e913c7dcd	eeg_erds-mean_beta_central_stimulus_percent_p79774945be2b	eeg_erds-mean_beta_parietal_stimulus_percent_pcf3bce3d1c06	eeg_erds-mean_beta_global_stimulus_percent_p99e0a8206736	eeg_peak-freq-adjusted_alpha_global_baseline_raw_p8d330fbddc04	eeg_peak-freq-adjusted_alpha_global_stimulus_raw_p010341eb3a58
0	0	stim	sub-01	run-01	1	1.0	46.26	0	"[""epochs/sub-01/eeg/sub-01_task-pain_run-01_epo.fif"",0,""stim""]"	-10.961087483649115	-10.725457085385798	-10.693647135914457	-10.827692839339491	-10.598636839996328	-10.806929220040313	-10.912312171275993	-10.66318103669087	-10.824284357032349	-10.917708037602065	-10.961326136516934	-10.824528697166011	-10.981249744169967	-10.850205569071552	-10.559782607176205	-10.818101658670601	-10.811540809466418	-10.804225517995839	-10.06248692271634	-10.105135170997583	-10.139442209003672	-10.140020290245468	-10.140852185410369	-10.102825943703733	-10.049168381021696	-10.321768559445898	-10.263408732679832	-10.312644514415329	-10.075285598366325	-10.316067747376172	-10.146135351232202	-10.114528245183292	-10.220447108818467	-10.093554285383167	-10.137153311156112	-10.18831809459383	-11.275488643102337	-11.167994235000553	-11.173373771202993	-11.143523603737309	-11.300293473878654	-11.124084055453055	-11.13963648048719	-11.196370538007102	-11.362550223365643	-11.182368646304344	-11.21894901857633	-11.208610347661308	-11.447105074807109	-11.1655014668841	-11.129751043774855	-11.066394524845816	-11.25589346614939	-11.156855927236698	-33.90177503847172	15.45836744878357	-8.264375698727608	-7.363565230760924	6.0682331979014545	0.7339674279096953	9.926222189348502	9.925286720969293
1	1	stim	sub-01	run-01	2	1.0	25.9	0	"[""epochs/sub-01/eeg/sub-01_task-pain_run-01_epo.fif"",1,""stim""]"	-10.991208527244783	-10.968552982560144	-10.84867766822451	-10.968984582957315	-11.053653745866852	-10.96703132442561	-10.701577549658623	-10.936519586533421	-10.805488923488356	-10.791494798160107	-10.850533323834103	-10.829058888026914	-10.878832721323366	-10.824465804774258	-10.835927967779334	-10.779990423144612	-10.870737553427489	-10.883262298822798	-10.200275043012583	-10.140035086716551	-10.113042429625144	-10.142950760558112	-10.017473169788273	-10.182502580745703	-10.133826357731913	-10.313344479558376	-10.225466776772118	-10.324667149544462	-10.091630188393275	-10.327792123634154	-10.118120478968326	-10.115671496820626	-10.072688250250838	-10.095975393403695	-10.121565336817808	-10.205367383872709	-11.447191732432547	-11.255782286778052	-11.359529487243112	-11.1111593520887	-10.955886890713307	-11.16406121029481	-11.192395270963026	-11.194948674600564	-11.116845666504423	-11.238167498374352	-11.130778821847693	-11.262845179619774	-11.391996624916745	-11.325893695050187	-11.238434602410814	-11.064562036434666	-11.22913238712896	-11.202177491655137	-29.64302879868978	-2.246820836898274	-15.368422108643154	-7.423003273577327	27.56571562090183	9.259960995193481	9.946509073071478	9.936141992443602
2	2	stim	sub-01	run-01	3	4.0	61.92	1	"[""epochs/sub-01/eeg/sub-01_task-pain_run-01_epo.fif"",2,""stim""]"	-10.610503343945641	-10.747775314690024	-10.815609257119524	-10.86825659974255	-11.084810538858815	-10.834747324353952	-10.878837008099358	-10.91241841272377	-11.064704380230122	-10.80650265436598	-10.70248889480708	-10.989776206863418	-10.50908685792737	-10.855846204746758	-10.873887914703163	-10.827626716807012	-10.817491024461383	-10.855368679286682	-10.162159556962973	-10.137065522826042	-10.127092309016637	-10.124391926531874	-10.010054125235076	-10.126181141289779	-10.039177931524984	-11.095707568927018	-10.161882640051997	-11.113035998892023	-10.1490114175115	-11.016388356238096	-10.216188955648251	-10.162800103563198	-10.106556424583529	-10.125864115043756	-10.121515420066869	-10.487679341663974	-11.492048591181057	-11.216192486363912	-11.107176462011239	-11.23528341465118	-11.049310833853031	-11.26657036867841	-11.172970899915855	-11.194049375795398	-11.181452141569514	-11.218914065581197	-11.226422226345566	-11.26996077752372	-11.19421573249808	-11.254653864666777	-11.203741585069471	-11.124426385034733	-11.203417309055476	-11.222506342286916	-87.17300187387951	-1.2121643376998215	-34.936947325973755	-5.675056240118522	22.756189838706653	5.709408095090344	9.947795322251203	9.929655795414671
3	3	stim	sub-01	run-01	4	2.0	47.18	0	"[""epochs/sub-01/eeg/sub-01_task-pain_run-01_epo.fif"",3,""stim""]"	-10.810492756306976	-10.826276893709021	-11.062058901797265	-10.89726997359477	-10.909874293376141	-10.82154760433845	-10.839653813549695	-10.756958024766416	-10.870145545000698	-10.876934140623467	-10.749804046426302	-10.935855256345253	-10.894152541043514	-10.825433917095994	-10.914154560588843	-10.902947697426095	-10.881292057261179	-10.855402938487435	-10.207398880573184	-10.16780293893138	-10.202105907304551	-10.12235598028607	-10.134268877999542	-10.19224023444757	-10.143071690254095	-10.483350277620671	-10.1214559390228	-10.556045176377104	-10.185691599461652	-10.478637123364498	-10.093208799475775	-10.127453453753605	-10.154503686056655	-10.096648129958483	-10.155213172518533	-10.278066664342424	-11.288602673413509	-11.215724983209716	-11.164647808275642	-11.343975796200402	-11.252560786771385	-11.162952688505008	-11.120911862720597	-11.17061224760708	-11.279019472099238	-11.242331538970117	-11.107690561890912	-11.1887215504015	-11.103613395617861	-11.288661285796001	-10.959758272307196	-11.286601569499087	-11.159600604137042	-11.237447707523613	-58.468609550659615	1.7510519417442212	-18.925069642910646	-3.855577023889062	-17.615864119792278	-5.389622607714884	9.928425471614112	9.92347905157838
4	4	stim	sub-01	run-01	5	3.0	49.41	1	"[""epochs/sub-01/eeg/sub-01_task-pain_run-01_epo.fif"",4,""stim""]"	-10.635098594478238	-10.94976931479849	-10.962650622484606	-10.914062078992544	-10.788445489487701	-10.964854720951408	-10.87065765999932	-10.801945048233186	-10.689250211519987	-10.78069206004819	-10.942545990498951	-10.915300939497794	-10.681929388109525	-10.883330178220694	-10.995713106203702	-10.832203648322212	-10.820786382847754	-10.880269748633063	-10.280892489968982	-10.10665016403532	-10.187745801811916	-10.128116495879475	-10.017925070525308	-10.161833219776986	-10.206057970371853	-10.821334490050347	-10.054889634029909	-10.841018728324636	-10.198487084656277	-10.791919190315278	-10.072530084793593	-10.131799205089584	-10.148474379082801	-10.107647079949045	-10.14587531440508	-10.386289821677584	-11.380802036895652	-11.141570610399254	-11.03154625244394	-11.171776041267671	-11.376380730694882	-11.211802819677956	-11.243435553554914	-11.214945836728416	-11.312646704737496	-11.232276906163504	-11.097008283743612	-11.199214102464564	-11.303959858656578	-11.284055907676434	-11.30183135220399	-11.181199592265784	-11.255951346616383	-11.204605227080448	-77.7382981808002	-2.1695443971475106	-31.31148512700755	5.233268275753642	1.7410859295416703	11.95427965662475	9.954727341480424	9.927477714973573
5	5	stim	sub-01	run-01	6	3.0	7.64	1	"[""epochs/sub-01/eeg/sub-01_task-pain_run-01_epo.fif"",5,""stim""]"	-10.735418854042848	-10.928080398738928	-10.842225311877414	-10.874379423697333	-10.73818346818075	-10.852651595405446	-10.71594827893359	-11.03523939225112	-10.782869618212505	-10.89113570482971	-10.73995068334127	-10.836480934099125	-10.81437067872902	-10.806072730277952	-11.004821957671806	-10.84135579536543	-10.79672360637365	-10.88317449683313	-10.19427540182832	-10.14199134568066	-10.004714976682717	-10.134350932147752	-10.05755818559578	-10.118363317152895	-10.13750821065174	-10.685882477074896	-10.129672021054304	-10.880798244882785	-10.114379400325037	-10.727172043194686	-10.086128311449693	-10.114515402559904	-10.120580031885117	-10.131187503753969	-10.105602067434088	-10.366782658305942	-11.080571187633595	-11.09951486450627	-11.538768807370706	-11.184815002378892	-10.993776503354521	-11.163600599848923	-11.335471393359484	-11.147146108725176	-11.180586330056453	-11.081096884835521	-11.21019537208541	-11.151471950474726	-11.0855397506098	-11.34438922929498	-11.263486304238493	-11.089739929320878	-11.211049456088558	-11.157721821173169	-74.75116953809366	2.364473712551563	-30.421226656739673	4.48870676268934	11.979207505892237	13.020131402345864	9.922754196406599	9.940681156133577
6	6	stim	sub-01	run-01	7	3.0	48.92	1	"[""epochs/sub-01/eeg/sub-01_task-pain_run-01_epo.fif"",6,""stim""]"	-10.746147223806387	-10.827335400990584	-10.743216278359702	-10.958962915539402	-11.100307895582853	-10.780563994708299	-10.524593518442748	-10.907056244814356	-10.953503779082297	-10.844057623232294	-10.87873231921462	-10.873885535811262	-10.872534892749195	-10.890372035717597	-10.95791564562006	-10.879639418297185	-10.847118944107233	-10.870234146138873	-10.19148519164893	-10.130380739369782	-10.127886313470249	-10.159456611531123	-10.319397304121413	-10.153475142785746	-10.136182709199574	-10.761359364716744	-10.15981437266029	-10.800137861380092	-10.115647703333844	-10.771284546263475	-10.191246707795948	-10.144726580529982	-10.211851959166696	-10.152083049534541	-10.181689032674617	-10.384112987013935	-11.288748900133912	-11.10869209786829	-11.336631289915251	-11.1420274443564	-11.073554590554547	-11.205489181951483	-11.285726048877654	-11.239939809917118	-11.13405327475108	-11.149681475754713	-11.162404369747248	-11.156113893648731	-11.315764136778606	-11.15476786695651	-11.354623465484226	-11.22373513584753	-11.243938259530315	-11.172555863287597	-74.39627421464779	11.250547306678381	-24.593920225626785	-10.007360075497507	20.899992572159825	-1.0527721697062975	9.94245930351209	9.931987961644298
7	7	stim	sub-01	run-01	8	1.0	17.54	0	"[""epochs/sub-01/eeg/sub-01_task-pain_run-01_epo.fif"",7,""stim""]"	-10.88466666738903	-10.825804106160906	-10.901600724583032	-10.854523528371708	-10.765082659200676	-10.831976759811432	-11.012265270629253	-10.858232552643976	-10.818832289713017	-10.978763256983656	-10.861939561461979	-10.76782500258112	-10.850155551154053	-10.823336178921798	-10.821076313520745	-10.837227410957892	-10.864452379706472	-10.84721109955406	-10.195371404350889	-10.098710716879484	-10.081279165964249	-10.163786483712093	-10.198373828069384	-10.144794383447094	-10.047604242050248	-10.35552130731479	-10.129617945428462	-10.319316594111388	-10.147388528272042	-10.303166258696049	-10.138061311597918	-10.1156552969755	-10.199143728522595	-10.140852595763635	-10.142105019281974	-10.205225454612505	-11.443295077023308	-11.119411775406844	-11.109297358118441	-11.205518150189043	-11.30911605109993	-11.1997529192987	-10.973117472555202	-11.338121715155904	-11.414877490388466	-11.23273486620974	-11.148669949521155	-11.225524099875871	-11.216001177137377	-11.254197492394404	-11.193747301647932	-11.198763097071824	-11.226015234686475	-11.221753014450291	-30.159151165695516	9.160293244976867	-9.095273452021637	-13.36423929569647	-11.853426804487942	2.13212699439513	9.927561868422005	9.92254092241791
8	8	stim	sub-01	run-01	9	2.0	73.33	0	"[""epochs/sub-01/eeg/sub-01_task-pain_run-01_epo.fif"",8,""stim""]"	-10.787439998971536	-10.827158989370657	-10.946087597044633	-10.853881548640297	-11.003774974458622	-10.903353954783201	-10.788600609453862	-10.813206589845539	-10.690987083728304	-10.797650969660975	-10.79637429218731	-10.717183781374125	-11.388254198460825	-10.889823348760734	-10.846993323350107	-10.876571080618445	-10.906064009706899	-10.834853782881748	-10.095713250223636	-10.107178991054008	-10.220483339904442	-10.104493741474814	-10.280133609961386	-10.130672662377535	-10.155148507470257	-10.523221019590947	-10.186383361428268	-10.436424289934846	-10.116054179187174	-10.392224739510919	-10.033339966840012	-10.228147369711051	-10.200246842677025	-10.119423197543085	-10.160937882211524	-10.25522325139965	-11.039770655267668	-11.112241986229785	-11.053040312560956	-11.208171618116296	-11.092434034118718	-11.242856999223875	-11.042280763082672	-11.223678953294579	-11.28540155856407	-11.185677468654367	-11.296058972182987	-11.193613511472115	-11.406531407941058	-11.160092020574922	-11.163919344284537	-11.177252855316599	-11.172429631000334	-11.187948176610316	-49.791816609443494	-6.243312771932389	-17.734690782630686	-5.707598586646267	9.831374856462585	-2.109016155708539	9.94715304755626	9.930964003302243
9	9	stim	sub-01	run-01	10	1.0	-4.64	0	"[""epochs/sub-01/eeg/sub-01_task-pain_run-01_epo.fif"",9,""stim""]"	-10.918243275688212	-10.69973306143609	-10.782142936081947	-10.834886593193705	-10.719672581483046	-10.835093347575384	-11.223884445406117	-10.920173760983237	-10.809780377632931	-10.910089182232793	-10.656836913937086	-10.846426902046368	-10.964849128289297	-10.791153861154664	-10.919210137122947	-10.836323877624439	-10.874327474455198	-10.834235073280835	-10.057387859623157	-10.094738000035518	-10.140929294565609	-10.118782941744342	-10.184258065223476	-10.118721982567264	-10.06221859256195	-10.218431593831026	-10.199928574432418	-10.290756156512591	-10.088286487277614	-10.29796740220071	-10.23686312831114	-10.109398667218837	-10.214497678394117	-10.09579202440542	-10.148046210048683	-10.168073596064463	-11.454523106127379	-11.168867204374807	-11.30762318863901	-11.298438800197353	-11.29868699896494	-11.142054101519275	-11.031522370525407	-11.107393668556712	-11.170493328477406	-11.19603351057056	-11.097184037921373	-11.225850320771144	-11.39978983663946	-11.049145027510395	-11.152421532460107	-11.261311678648191	-11.239030549969385	-11.181136789018552	-29.528246429509693	15.716156718676995	-5.312074960889821	-6.850637584688475	27.424873268187046	18.00802903464857	9.921254525464205	9.92195782531137
